step,host,alg,-t,t,-mr,mr,-ma,ma,-mp,mp,-p,-k,k,-i,i,-d,d,-rq,rq,-rqsize,rqsize,-nwork,nwork,-nrq,nrq,-seqwidth,seqwidth,-trial,trial,-pinning,pinning,-data,total insert succ,total erase succ,throughput,incl. queries,elapsed milliseconds,tree,footprint after prefilling,footprint at the end,footprint peak in prefill,footprint peak overall,MILLIS_TO_RUN,INS,DEL,MAXKEY,WORK_THREADS,RECLAIM_TYPE,ALLOC_TYPE,POOL_TYPE,WIDTH_SEQ,THREAD_BINDING,PREFILL,PAPI_L1_DCM,PAPI_L2_TCM,PAPI_L3_TCM,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_TOT_INS,allocated~5,deallocated~2,recycled~2,pool~2,reclaim~2,total fast htm commit~2,total fast htm abort~2,total fallback commit~2,total fallback abort~2,seconds global lock is held~2,obj1type,obj1size,obj1allocated,obj2type,obj2size,obj2allocated,filename,cmd,machine
step1090,zyra,dsbench_tl2,-t,10000,-mr,debra,-ma,new,-mp,none,-p,-k,10000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,53,-nrq,1,-seqwidth,48,-trial,0,-pinning,ZYRA_CLUSTER,data,,,0,36323669,10000,,,,,,10000,05459.42,0,10000,53,debra,new,none,,8,1,,2.91463,0.153441,3496.74,,5459.42,,,,,,,,,,,,,,,,,"step1090.zyra.dsbench_tl2.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.10000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.53.-nrq.1.-seqwidth.48.-trial.0.-pinning.ZYRA_CLUSTER.data","LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_tl2 -t 10000 -mr debra -ma new -mp none -p -k 10000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 53 -nrq 1 >> output.zyra.dsbench/step1090.zyra.dsbench_tl2.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.10000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.53.-nrq.1.-seqwidth.48.-trial.0.-pinning.ZYRA_CLUSTER.data 2>>output.zyra.dsbench/stderr.out",zyra
step190,zyra,dsbench_tl2,-t,10000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,107,-nrq,1,-seqwidth,48,-trial,0,-pinning,ZYRA_CLUSTER,data,,,0,74763689,10000,,,,,,10000,04689.33,0,100000,107,debra,new,none,,8,1,,19.3434,0.125476,3469.14,,4689.33,,,,,,,,,,,,,,,,,"step190.zyra.dsbench_tl2.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.107.-nrq.1.-seqwidth.48.-trial.0.-pinning.ZYRA_CLUSTER.data","LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_tl2 -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 107 -nrq 1 >> output.zyra.dsbench/step190.zyra.dsbench_tl2.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.107.-nrq.1.-seqwidth.48.-trial.0.-pinning.ZYRA_CLUSTER.data 2>>output.zyra.dsbench/stderr.out",zyra
step1910,zyra,dsbench_hytm2_3path,-t,10000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,5,-d,5,-rq,0,-rqsize,256,-nwork,72,-nrq,0,-seqwidth,48,-trial,1,-pinning,ZYRA_SCATTER,data,43540925,43544913,8708583,87002304,10000,,,,,,10000,51260.4,5,100000,72,debra,new,none,,7,1,,21.5147,1.22513,2169.97,,1260.4,,,,,,313205326 ,599487862 ,515076 ,5625 ,0 ,,,,,,,"step1910.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.72.-nrq.0.-seqwidth.48.-trial.1.-pinning.ZYRA_SCATTER.data","LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 72 -nrq 0 >> output.zyra.dsbench/step1910.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.72.-nrq.0.-seqwidth.48.-trial.1.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out",zyra
step1911,zyra,dsbench_hytm2_3path,-t,10000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,5,-d,5,-rq,0,-rqsize,256,-nwork,72,-nrq,0,-seqwidth,48,-trial,2,-pinning,ZYRA_SCATTER,data,43404569,43413654,8681822,86717583,10000,,,,,,10000,51262.9,5,100000,72,debra,new,none,,7,1,,20.8501,1.21753,2185.79,,1262.9,,,,,,318787274 ,602652329 ,509608 ,6993 ,0 ,,,,,,,"step1911.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.72.-nrq.0.-seqwidth.48.-trial.2.-pinning.ZYRA_SCATTER.data","LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 72 -nrq 0 >> output.zyra.dsbench/step1911.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.72.-nrq.0.-seqwidth.48.-trial.2.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out",zyra
step1912,zyra,dsbench_hytm2_3path,-t,10000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,5,-d,5,-rq,0,-rqsize,256,-nwork,71,-nrq,1,-seqwidth,48,-trial,0,-pinning,ZYRA_SCATTER,data,41456825,41448857,8290568,82802657,10000,,,,,,10000,51506.35,5,100000,71,debra,new,none,,7,1,,26.347,1.35784,2283,,1506.35,,,,,,939515 ,830597168 ,514113 ,60166 ,0 ,,,,,,,"step1912.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.71.-nrq.1.-seqwidth.48.-trial.0.-pinning.ZYRA_SCATTER.data","LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 71 -nrq 1 >> output.zyra.dsbench/step1912.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.71.-nrq.1.-seqwidth.48.-trial.0.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out",zyra
step1913,zyra,dsbench_hytm2_3path,-t,10000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,5,-d,5,-rq,0,-rqsize,256,-nwork,71,-nrq,1,-seqwidth,48,-trial,1,-pinning,ZYRA_SCATTER,data,40919681,40929369,8184905,81750663,10000,,,,,,10000,51582.97,5,100000,71,debra,new,none,,7,1,,26.5939,1.33789,2317.89,,1582.97,,,,,,456653 ,820077247 ,501530 ,61846 ,0 ,,,,,,,"step1913.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.71.-nrq.1.-seqwidth.48.-trial.1.-pinning.ZYRA_SCATTER.data","LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 71 -nrq 1 >> output.zyra.dsbench/step1913.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.71.-nrq.1.-seqwidth.48.-trial.1.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out",zyra
step1914,zyra,dsbench_hytm2_3path,-t,10000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,5,-d,5,-rq,0,-rqsize,256,-nwork,71,-nrq,1,-seqwidth,48,-trial,2,-pinning,ZYRA_SCATTER,data,36618220,36635604,7325382,73176764,10000,,,,,,10000,51683.89,5,100000,71,debra,new,none,,7,1,,27.547,1.42018,2584.61,,1683.89,,,,,,2991485 ,731696391 ,433183 ,57785 ,0 ,,,,,,,"step1914.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.71.-nrq.1.-seqwidth.48.-trial.2.-pinning.ZYRA_SCATTER.data","LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 71 -nrq 1 >> output.zyra.dsbench/step1914.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.71.-nrq.1.-seqwidth.48.-trial.2.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out",zyra
step1915,zyra,dsbench_hytm2_3path,-t,10000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,5,-d,5,-rq,0,-rqsize,256,-nwork,90,-nrq,0,-seqwidth,48,-trial,0,-pinning,ZYRA_SCATTER,data,48138709,48137895,9627660,96157919,10000,,,,,,10000,51343.95,5,100000,90,debra,new,none,,7,1,,22.8358,1.38667,2460.24,,1343.95,,,,,,253943227 ,744351786 ,571466 ,12642 ,0 ,,,,,,,"step1915.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.90.-nrq.0.-seqwidth.48.-trial.0.-pinning.ZYRA_SCATTER.data","LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 90 -nrq 0 >> output.zyra.dsbench/step1915.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.90.-nrq.0.-seqwidth.48.-trial.0.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out",zyra
step1916,zyra,dsbench_hytm2_3path,-t,10000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,5,-d,5,-rq,0,-rqsize,256,-nwork,90,-nrq,0,-seqwidth,48,-trial,1,-pinning,ZYRA_SCATTER,data,48035701,48028205,9606390,95949803,10000,,,,,,10000,51359.64,5,100000,90,debra,new,none,,7,1,,22.6829,1.38838,2466.57,,1359.64,,,,,,246028077 ,752217384 ,574317 ,9293 ,0 ,,,,,,,"step1916.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.90.-nrq.0.-seqwidth.48.-trial.1.-pinning.ZYRA_SCATTER.data","LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 90 -nrq 0 >> output.zyra.dsbench/step1916.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.90.-nrq.0.-seqwidth.48.-trial.1.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out",zyra
step1917,zyra,dsbench_hytm2_3path,-t,10000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,5,-d,5,-rq,0,-rqsize,256,-nwork,90,-nrq,0,-seqwidth,48,-trial,2,-pinning,ZYRA_SCATTER,data,48872546,48868408,9774095,97622767,10000,,,,,,10000,51311.87,5,100000,90,debra,new,none,,7,1,,22.4399,1.36666,2423.09,,1311.87,,,,,,256749089 ,754271154 ,584564 ,9826 ,0 ,,,,,,,"step1917.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.90.-nrq.0.-seqwidth.48.-trial.2.-pinning.ZYRA_SCATTER.data","LD_PRELOAD=../lib/libjemalloc.so  time timeout 13 numactl --interleave=all ./zyra.dsbench_hytm2_3path -t 10000 -mr debra -ma new -mp none -p -k 100000 -i 5 -d 5 -rq 0 -rqsize 256 -nwork 90 -nrq 0 >> output.zyra.dsbench/step1917.zyra.dsbench_hytm2_3path.-t.10000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.5.-d.5.-rq.0.-rqsize.256.-nwork.90.-nrq.0.-seqwidth.48.-trial.2.-pinning.ZYRA_SCATTER.data 2>>output.zyra.dsbench/stderr.out",zyra
