step,dummy,alg,-t,t,-mr,mr,-ma,ma,-mp,mp,-p,-k,k,-i,i,-d,d,-rq,rq,-rqsize,rqsize,-nwork,nwork,-nrq,nrq,-seqwidth,seqwidth,-trial,trial,-data,total insert succ,total erase succ,throughput,incl. queries,elapsed milliseconds,tree,footprint after prefilling,footprint at the end,footprint peak in prefill,footprint peak overall,MILLIS_TO_RUN,INS,DEL,MAXKEY,WORK_THREADS,RECLAIM_TYPE,ALLOC_TYPE,POOL_TYPE,WIDTH_SEQ,THREAD_BINDING,PREFILL,PAPI_L1_DCM,PAPI_L2_TCM,PAPI_L3_TCM,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_TOT_ISR,allocated~5,deallocated~2,recycled~2,pool~2,reclaim~2,obj1type,obj1size,obj1allocated,obj2type,obj2size,obj2allocated,filename,cmd,machine
step100,tapuz40,dsbench_tl2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,31,-nrq,1,-seqwidth,48,-trial,3,data,,,0,23748802,1000,,,,,,1000,0,0,100000,31,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step100.tapuz40.dsbench_tl2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.31.-nrq.1.-seqwidth.48.-trial.3.data","   ./tapuz40.dsbench_tl2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 31 -nrq 1",tapuz40
step1010,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,1,-nrq,0,-seqwidth,48,-trial,1,data,,,0,1432499,1000,,,,,,1000,0,0,100000,1,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1010.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.1.-nrq.0.-seqwidth.48.-trial.1.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 1 -nrq 0",tapuz40
step1011,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,1,-nrq,0,-seqwidth,48,-trial,2,data,,,0,1454999,1000,,,,,,1000,0,0,100000,1,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1011.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.1.-nrq.0.-seqwidth.48.-trial.2.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 1 -nrq 0",tapuz40
step1012,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,1,-nrq,0,-seqwidth,48,-trial,3,data,,,0,1470999,1000,,,,,,1000,0,0,100000,1,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1012.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.1.-nrq.0.-seqwidth.48.-trial.3.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 1 -nrq 0",tapuz40
step1013,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,1,-nrq,0,-seqwidth,48,-trial,4,data,,,0,1465999,1000,,,,,,1000,0,0,100000,1,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1013.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.1.-nrq.0.-seqwidth.48.-trial.4.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 1 -nrq 0",tapuz40
step1014,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,1,-nrq,0,-seqwidth,48,-trial,5,data,,,0,1461499,1000,,,,,,1000,0,0,100000,1,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1014.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.1.-nrq.0.-seqwidth.48.-trial.5.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 1 -nrq 0",tapuz40
step1015,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,2,-nrq,0,-seqwidth,48,-trial,0,data,,,0,2872328,1000,,,,,,1000,0,0,100000,2,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1015.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.2.-nrq.0.-seqwidth.48.-trial.0.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 2 -nrq 0",tapuz40
step1016,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,2,-nrq,0,-seqwidth,48,-trial,1,data,,,0,2858777,1000,,,,,,1000,0,0,100000,2,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1016.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.2.-nrq.0.-seqwidth.48.-trial.1.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 2 -nrq 0",tapuz40
step1017,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,2,-nrq,0,-seqwidth,48,-trial,2,data,,,0,2873858,1000,,,,,,1000,0,0,100000,2,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1017.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.2.-nrq.0.-seqwidth.48.-trial.2.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 2 -nrq 0",tapuz40
step1018,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,2,-nrq,0,-seqwidth,48,-trial,3,data,,,0,2850278,1000,,,,,,1000,0,0,100000,2,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1018.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.2.-nrq.0.-seqwidth.48.-trial.3.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 2 -nrq 0",tapuz40
step1019,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,2,-nrq,0,-seqwidth,48,-trial,4,data,,,0,2836787,1000,,,,,,1000,0,0,100000,2,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1019.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.2.-nrq.0.-seqwidth.48.-trial.4.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 2 -nrq 0",tapuz40
step101,tapuz40,dsbench_tl2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,31,-nrq,1,-seqwidth,48,-trial,4,data,,,0,22694371,1000,,,,,,1000,0,0,100000,31,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step101.tapuz40.dsbench_tl2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.31.-nrq.1.-seqwidth.48.-trial.4.data","   ./tapuz40.dsbench_tl2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 31 -nrq 1",tapuz40
step1020,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,2,-nrq,0,-seqwidth,48,-trial,5,data,,,0,2821205,1000,,,,,,1000,0,0,100000,2,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1020.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.2.-nrq.0.-seqwidth.48.-trial.5.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 2 -nrq 0",tapuz40
step1021,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,1,-nrq,1,-seqwidth,48,-trial,0,data,,,0,1477844,1000,,,,,,1000,0,0,100000,1,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1021.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.1.-nrq.1.-seqwidth.48.-trial.0.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 1 -nrq 1",tapuz40
step1022,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,1,-nrq,1,-seqwidth,48,-trial,1,data,,,0,1440854,1000,,,,,,1000,0,0,100000,1,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1022.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.1.-nrq.1.-seqwidth.48.-trial.1.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 1 -nrq 1",tapuz40
step1023,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,1,-nrq,1,-seqwidth,48,-trial,2,data,,,0,1447385,1000,,,,,,1000,0,0,100000,1,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1023.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.1.-nrq.1.-seqwidth.48.-trial.2.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 1 -nrq 1",tapuz40
step1024,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,1,-nrq,1,-seqwidth,48,-trial,3,data,,,0,1474061,1000,,,,,,1000,0,0,100000,1,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1024.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.1.-nrq.1.-seqwidth.48.-trial.3.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 1 -nrq 1",tapuz40
step1025,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,1,-nrq,1,-seqwidth,48,-trial,4,data,,,0,1459382,1000,,,,,,1000,0,0,100000,1,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1025.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.1.-nrq.1.-seqwidth.48.-trial.4.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 1 -nrq 1",tapuz40
step1026,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,1,-nrq,1,-seqwidth,48,-trial,5,data,,,0,1451867,1000,,,,,,1000,0,0,100000,1,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1026.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.1.-nrq.1.-seqwidth.48.-trial.5.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 1 -nrq 1",tapuz40
step1027,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,4,-nrq,0,-seqwidth,48,-trial,0,data,,,0,5293258,1000,,,,,,1000,0,0,100000,4,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1027.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.4.-nrq.0.-seqwidth.48.-trial.0.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 4 -nrq 0",tapuz40
step1028,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,4,-nrq,0,-seqwidth,48,-trial,1,data,,,0,5284188,1000,,,,,,1000,0,0,100000,4,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1028.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.4.-nrq.0.-seqwidth.48.-trial.1.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 4 -nrq 0",tapuz40
step1029,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,4,-nrq,0,-seqwidth,48,-trial,2,data,,,0,5407626,1000,,,,,,1000,0,0,100000,4,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1029.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.4.-nrq.0.-seqwidth.48.-trial.2.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 4 -nrq 0",tapuz40
step102,tapuz40,dsbench_tl2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,31,-nrq,1,-seqwidth,48,-trial,5,data,,,0,23892784,1000,,,,,,1000,0,0,100000,31,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step102.tapuz40.dsbench_tl2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.31.-nrq.1.-seqwidth.48.-trial.5.data","   ./tapuz40.dsbench_tl2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 31 -nrq 1",tapuz40
step1030,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,4,-nrq,0,-seqwidth,48,-trial,3,data,,,0,5328379,1000,,,,,,1000,0,0,100000,4,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1030.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.4.-nrq.0.-seqwidth.48.-trial.3.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 4 -nrq 0",tapuz40
step1031,tapuz40,dsbench_hytm2,-t,1000,-mr,debra,-ma,new,-mp,none,-p,-k,100000,-i,0,-d,0,-rq,0,-rqsize,256,-nwork,4,-nrq,0,-seqwidth,48,-trial,4,data,,,0,5319442,1000,,,,,,1000,0,0,100000,4,debra,new,none,,6,1,,,,,,,0,0,0,0,0,,,,,,,"step1031.tapuz40.dsbench_hytm2.-t.1000.-mr.debra.-ma.new.-mp.none.-p.-k.100000.-i.0.-d.0.-rq.0.-rqsize.256.-nwork.4.-nrq.0.-seqwidth.48.-trial.4.data","   ./tapuz40.dsbench_hytm2 -t 1000 -mr debra -ma new -mp none -p -k 100000 -i 0 -d 0 -rq 0 -rqsize 256 -nwork 4 -nrq 0",tapuz40
